Date,Has_Discount,Discount_Cards
01-01-2026,1,"Item_A on TGV: 20% off, now €125.80 | Item_B on DB: 10% off, now €236.82 | Item_D on DB: 30% off, now €126.67 | Item_E on Thalys: 10% off, now €139.40"
01-02-2024,1,"Item_B on Eurostar: 30% off, now €175.98 | Item_C on DB: 15% off, now €186.14 | Item_D on Thalys: 20% off, now €294.59 | Item_E on TGV: 25% off, now €166.86"
01-02-2025,1,"Item_C on DB: 20% off, now €243.01 | Item_D on Thalys: 20% off, now €247.04 | Item_E on TGV: 10% off, now €244.43"
01-02-2026,1,"Item_A on DB: 20% off, now €68.68 | Item_B on DB: 25% off, now €205.81 | Item_C on Thalys: 20% off, now €164.23 | Item_D on Thalys: 30% off, now €261.88 | Item_E on TGV: 15% off, now €69.56"
01-03-2024,1,"Item_A on Thalys: 20% off, now €262.79 | Item_B on DB: 10% off, now €239.63 | Item_C on Eurostar: 20% off, now €187.88 | Item_D on DB: 25% off, now €125.51 | Item_E on TGV: 30% off, now €245.61"
01-03-2025,1,"Item_B on Eurostar: 20% off, now €76.98 | Item_D on Eurostar: 15% off, now €136.54 | Item_E on TGV: 20% off, now €263.37"
01-03-2026,1,"Item_B on DB: 25% off, now €289.45 | Item_C on Eurostar: 30% off, now €140.85 | Item_E on TGV: 25% off, now €218.13"
01-04-2024,1,"Item_A on TGV: 10% off, now €191.43 | Item_B on DB: 30% off, now €51.26 | Item_D on Eurostar: 10% off, now €186.18 | Item_E on Eurostar: 30% off, now €131.04"
01-04-2025,1,"Item_A on TGV: 20% off, now €65.58 | Item_B on Thalys: 20% off, now €291.18 | Item_C on TGV: 25% off, now €170.46 | Item_D on DB: 20% off, now €257.63 | Item_E on DB: 10% off, now €189.80"
01-05-2024,1,"Item_A on DB: 20% off, now €190.58 | Item_C on Thalys: 25% off, now €80.27 | Item_D on TGV: 30% off, now €250.09"
01-05-2025,1,"Item_C on DB: 10% off, now €284.04 | Item_D on Thalys: 15% off, now €277.37 | Item_E on Eurostar: 15% off, now €241.11"
01-05-2026,1,"Item_B on Eurostar: 10% off, now €197.56 | Item_C on TGV: 25% off, now €185.38 | Item_D on Eurostar: 20% off, now €56.78"
01-06-2025,1,"Item_A on DB: 15% off, now €203.94 | Item_B on Eurostar: 10% off, now €247.31 | Item_C on Thalys: 30% off, now €238.47 | Item_D on TGV: 20% off, now €126.07 | Item_E on Eurostar: 25% off, now €232.60"
01-07-2024,1,"Item_A on DB: 20% off, now €260.37 | Item_B on Thalys: 20% off, now €198.60 | Item_C on Eurostar: 10% off, now €214.91 | Item_E on Eurostar: 20% off, now €136.73"
01-07-2025,1,"Item_C on DB: 10% off, now €83.91 | Item_D on Thalys: 15% off, now €139.85 | Item_E on Eurostar: 30% off, now €62.66"
01-07-2026,1,"Item_A on Eurostar: 30% off, now €69.95 | Item_B on DB: 10% off, now €266.78 | Item_C on Eurostar: 25% off, now €61.17 | Item_D on TGV: 10% off, now €215.17 | Item_E on Eurostar: 30% off, now €279.61"
01-08-2024,1,"Item_A on TGV: 10% off, now €103.99 | Item_B on DB: 25% off, now €242.25 | Item_C on Eurostar: 15% off, now €164.28 | Item_D on Thalys: 20% off, now €136.86"
01-08-2025,1,"Item_A on Eurostar: 15% off, now €64.79 | Item_D on DB: 20% off, now €214.23 | Item_E on DB: 30% off, now €183.33"
01-08-2026,1,"Item_A on TGV: 10% off, now €181.98 | Item_C on Thalys: 15% off, now €64.61 | Item_D on Eurostar: 30% off, now €63.68"
01-09-2024,1,"Item_B on Eurostar: 15% off, now €62.12 | Item_C on Thalys: 25% off, now €186.15 | Item_D on Eurostar: 10% off, now €248.30"
01-09-2025,1,"Item_A on TGV: 25% off, now €262.42 | Item_B on TGV: 15% off, now €249.75 | Item_C on Eurostar: 10% off, now €275.05 | Item_D on DB: 10% off, now €238.98 | Item_E on TGV: 15% off, now €198.27"
01-10-2024,1,"Item_A on Thalys: 10% off, now €209.79 | Item_C on TGV: 25% off, now €97.01 | Item_D on DB: 10% off, now €127.99 | Item_E on DB: 25% off, now €141.66"
01-10-2025,1,"Item_C on Eurostar: 30% off, now €145.08 | Item_D on Eurostar: 20% off, now €113.69 | Item_E on TGV: 30% off, now €243.00"
01-11-2024,1,"Item_C on DB: 10% off, now €198.86 | Item_D on DB: 30% off, now €153.63 | Item_E on TGV: 10% off, now €91.49"
01-11-2025,1,"Item_B on Eurostar: 25% off, now €177.06 | Item_C on Thalys: 20% off, now €273.41 | Item_E on Eurostar: 30% off, now €63.43"
01-12-2024,1,"Item_A on TGV: 20% off, now €81.77 | Item_B on DB: 10% off, now €76.58 | Item_D on DB: 10% off, now €131.75 | Item_E on Eurostar: 10% off, now €248.40"
01-12-2025,1,"Item_A on TGV: 25% off, now €81.77 | Item_B on Thalys: 20% off, now €124.34 | Item_C on Thalys: 30% off, now €225.87 | Item_D on TGV: 15% off, now €286.01 | Item_E on Eurostar: 30% off, now €76.72"
02-01-2024,1,"Item_A on Eurostar: 10% off, now €155.32 | Item_B on Eurostar: 20% off, now €259.41 | Item_C on Eurostar: 25% off, now €229.57 | Item_E on DB: 30% off, now €186.85"
02-01-2025,1,"Item_A on DB: 30% off, now €56.84 | Item_B on Eurostar: 25% off, now €162.43 | Item_C on Thalys: 10% off, now €125.16 | Item_D on TGV: 25% off, now €83.73 | Item_E on Thalys: 20% off, now €118.78"
02-01-2026,1,"Item_A on DB: 10% off, now €174.76 | Item_B on Thalys: 30% off, now €181.55 | Item_D on TGV: 25% off, now €293.02"
02-02-2026,1,"Item_A on TGV: 30% off, now €250.64 | Item_B on Thalys: 30% off, now €187.53 | Item_C on Eurostar: 10% off, now €122.98 | Item_D on TGV: 15% off, now €66.70 | Item_E on Thalys: 10% off, now €93.29"
02-03-2024,1,"Item_A on TGV: 20% off, now €262.36 | Item_B on Eurostar: 20% off, now €76.94 | Item_C on TGV: 30% off, now €98.33 | Item_D on TGV: 20% off, now €99.07"
02-03-2025,1,"Item_A on DB: 15% off, now €172.08 | Item_B on DB: 10% off, now €254.50 | Item_C on TGV: 10% off, now €137.92 | Item_D on TGV: 10% off, now €182.10 | Item_E on DB: 25% off, now €209.31"
02-04-2024,1,"Item_C on DB: 20% off, now €148.04 | Item_D on Thalys: 30% off, now €150.34 | Item_E on Eurostar: 15% off, now €78.72"
02-04-2025,1,"Item_A on TGV: 15% off, now €51.02 | Item_B on TGV: 25% off, now €276.46 | Item_C on DB: 20% off, now €140.43 | Item_D on Eurostar: 10% off, now €54.08 | Item_E on DB: 25% off, now €271.09"
02-05-2024,1,"Item_A on DB: 25% off, now €188.29 | Item_C on Thalys: 30% off, now €79.15 | Item_D on TGV: 30% off, now €184.54"
02-05-2026,1,"Item_A on Thalys: 10% off, now €247.67 | Item_B on TGV: 10% off, now €158.63 | Item_C on Thalys: 10% off, now €261.17 | Item_D on Eurostar: 10% off, now €111.92 | Item_E on DB: 10% off, now €111.36"
02-06-2024,1,"Item_A on DB: 20% off, now €129.91 | Item_C on Eurostar: 25% off, now €270.69 | Item_D on DB: 10% off, now €76.98 | Item_E on TGV: 25% off, now €210.06"
02-06-2025,1,"Item_A on TGV: 15% off, now €64.35 | Item_B on Thalys: 10% off, now €161.57 | Item_D on Thalys: 25% off, now €289.37 | Item_E on Thalys: 15% off, now €150.41"
02-06-2026,1,"Item_A on DB: 10% off, now €152.03 | Item_B on Thalys: 10% off, now €154.23 | Item_C on DB: 15% off, now €53.11 | Item_D on TGV: 10% off, now €188.66 | Item_E on TGV: 30% off, now €262.34"
02-07-2024,1,"Item_A on TGV: 10% off, now €142.01 | Item_B on TGV: 25% off, now €91.77 | Item_C on TGV: 30% off, now €208.15 | Item_D on Thalys: 25% off, now €206.16 | Item_E on TGV: 25% off, now €163.80"
02-07-2025,1,"Item_A on DB: 20% off, now €81.67 | Item_C on Eurostar: 20% off, now €53.30 | Item_E on Thalys: 15% off, now €104.60"
02-07-2026,1,"Item_A on Thalys: 10% off, now €203.30 | Item_D on TGV: 20% off, now €246.48 | Item_E on Eurostar: 15% off, now €98.27"
02-08-2024,1,"Item_A on DB: 30% off, now €242.59 | Item_B on Eurostar: 15% off, now €50.17 | Item_C on DB: 25% off, now €186.09 | Item_D on DB: 10% off, now €61.35 | Item_E on TGV: 15% off, now €165.84"
02-08-2025,1,"Item_B on DB: 30% off, now €271.16 | Item_C on DB: 25% off, now €146.23 | Item_D on Thalys: 25% off, now €131.57 | Item_E on DB: 10% off, now €162.15"
02-08-2026,1,"Item_A on Thalys: 20% off, now €291.25 | Item_B on DB: 25% off, now €71.89 | Item_C on TGV: 20% off, now €196.05 | Item_D on DB: 30% off, now €143.65 | Item_E on DB: 20% off, now €281.77"
02-09-2024,1,"Item_A on TGV: 30% off, now €191.98 | Item_C on Thalys: 20% off, now €147.07 | Item_D on Thalys: 30% off, now €200.31 | Item_E on DB: 15% off, now €99.21"
02-09-2026,1,"Item_A on Thalys: 25% off, now €243.93 | Item_B on Eurostar: 20% off, now €122.33 | Item_C on Eurostar: 10% off, now €244.64 | Item_D on TGV: 30% off, now €177.74 | Item_E on Thalys: 20% off, now €74.16"
02-10-2024,1,"Item_C on Thalys: 15% off, now €186.75 | Item_D on DB: 10% off, now €206.83 | Item_E on TGV: 10% off, now €117.62"
02-10-2025,1,"Item_A on DB: 30% off, now €74.39 | Item_B on TGV: 25% off, now €94.54 | Item_C on Thalys: 15% off, now €181.39 | Item_D on TGV: 15% off, now €72.46 | Item_E on TGV: 20% off, now €173.91"
02-11-2024,1,"Item_A on TGV: 30% off, now €67.37 | Item_B on Eurostar: 30% off, now €201.99 | Item_C on Eurostar: 10% off, now €78.33 | Item_D on Thalys: 30% off, now €213.70 | Item_E on TGV: 20% off, now €148.61"
02-11-2025,1,"Item_A on Eurostar: 25% off, now €161.13 | Item_C on DB: 30% off, now €93.82 | Item_D on Thalys: 20% off, now €298.82 | Item_E on TGV: 15% off, now €170.47"
02-12-2024,1,"Item_A on TGV: 15% off, now €224.41 | Item_B on Thalys: 20% off, now €109.39 | Item_D on DB: 30% off, now €178.11 | Item_E on Eurostar: 30% off, now €272.04"
02-12-2025,1,"Item_A on Eurostar: 25% off, now €203.99 | Item_B on TGV: 30% off, now €233.20 | Item_C on Thalys: 30% off, now €194.72 | Item_D on TGV: 30% off, now €152.14 | Item_E on Eurostar: 30% off, now €275.96"
03-01-2025,1,"Item_A on Thalys: 30% off, now €92.29 | Item_C on Thalys: 15% off, now €187.00 | Item_E on Eurostar: 15% off, now €112.75"
03-01-2026,1,"Item_A on Eurostar: 25% off, now €112.85 | Item_B on Eurostar: 30% off, now €230.57 | Item_E on DB: 20% off, now €54.25"
03-02-2024,1,"Item_A on Eurostar: 25% off, now €186.63 | Item_B on Eurostar: 10% off, now €81.03 | Item_C on Thalys: 15% off, now €228.95 | Item_D on TGV: 15% off, now €107.58"
03-02-2025,1,"Item_A on Eurostar: 15% off, now €196.65 | Item_B on Thalys: 10% off, now €131.21 | Item_C on TGV: 15% off, now €80.42 | Item_E on Eurostar: 20% off, now €151.41"
03-02-2026,1,"Item_A on Thalys: 30% off, now €242.84 | Item_B on Eurostar: 25% off, now €279.91 | Item_C on TGV: 20% off, now €144.83 | Item_E on TGV: 10% off, now €99.53"
03-03-2024,1,"Item_A on TGV: 20% off, now €244.95 | Item_D on Eurostar: 10% off, now €137.68 | Item_E on DB: 20% off, now €260.47"
03-03-2025,1,"Item_A on Thalys: 20% off, now €102.07 | Item_B on TGV: 25% off, now €258.48 | Item_C on DB: 20% off, now €116.21 | Item_D on TGV: 20% off, now €134.55 | Item_E on Eurostar: 30% off, now €122.50"
03-03-2026,1,"Item_B on Thalys: 20% off, now €88.09 | Item_C on DB: 30% off, now €95.51 | Item_E on DB: 15% off, now €81.23"
03-04-2025,1,"Item_A on Eurostar: 30% off, now €65.66 | Item_B on Thalys: 15% off, now €234.18 | Item_C on DB: 20% off, now €222.15 | Item_E on Eurostar: 30% off, now €64.39"
03-04-2026,1,"Item_A on DB: 10% off, now €57.61 | Item_B on DB: 20% off, now €138.51 | Item_C on TGV: 25% off, now €291.11 | Item_D on Eurostar: 15% off, now €78.81 | Item_E on DB: 15% off, now €224.29"
03-05-2024,1,"Item_A on DB: 30% off, now €132.73 | Item_C on TGV: 20% off, now €183.49 | Item_D on Thalys: 20% off, now €60.69 | Item_E on Thalys: 15% off, now €189.25"
03-06-2024,1,"Item_A on TGV: 15% off, now €226.31 | Item_B on Eurostar: 10% off, now €189.88 | Item_D on DB: 25% off, now €56.95 | Item_E on Thalys: 25% off, now €74.72"
03-06-2025,1,"Item_A on DB: 15% off, now €131.81 | Item_B on Thalys: 30% off, now €197.94 | Item_C on Eurostar: 10% off, now €217.01 | Item_D on Eurostar: 25% off, now €103.00 | Item_E on Eurostar: 20% off, now €248.84"
03-06-2026,1,"Item_A on TGV: 30% off, now €257.17 | Item_C on DB: 30% off, now €194.51 | Item_D on TGV: 25% off, now €233.97 | Item_E on DB: 20% off, now €168.24"
03-07-2024,1,"Item_A on Thalys: 30% off, now €79.48 | Item_B on DB: 25% off, now €94.24 | Item_C on Eurostar: 15% off, now €298.59 | Item_D on DB: 20% off, now €250.54"
03-07-2025,1,"Item_A on DB: 10% off, now €108.94 | Item_B on DB: 25% off, now €169.08 | Item_C on TGV: 15% off, now €145.27 | Item_D on Thalys: 10% off, now €168.47 | Item_E on Eurostar: 10% off, now €99.21"
03-07-2026,1,"Item_A on Thalys: 10% off, now €196.55 | Item_B on Thalys: 20% off, now €191.65 | Item_C on TGV: 25% off, now €141.07 | Item_D on DB: 25% off, now €218.66 | Item_E on Thalys: 10% off, now €257.61"
03-08-2024,1,"Item_B on Thalys: 20% off, now €269.98 | Item_C on Thalys: 30% off, now €58.72 | Item_D on Eurostar: 10% off, now €223.19 | Item_E on TGV: 10% off, now €197.50"
03-08-2025,1,"Item_A on Thalys: 25% off, now €181.92 | Item_B on TGV: 15% off, now €148.60 | Item_C on Thalys: 10% off, now €92.06 | Item_D on Thalys: 20% off, now €103.04 | Item_E on DB: 15% off, now €152.31"
03-09-2025,1,"Item_A on TGV: 20% off, now €74.51 | Item_B on Thalys: 30% off, now €133.33 | Item_C on TGV: 30% off, now €290.66 | Item_D on TGV: 30% off, now €277.52 | Item_E on DB: 15% off, now €120.03"
03-09-2026,1,"Item_A on Eurostar: 25% off, now €158.73 | Item_B on Thalys: 25% off, now €268.63 | Item_D on Eurostar: 30% off, now €183.96 | Item_E on TGV: 30% off, now €159.69"
03-10-2024,1,"Item_A on Thalys: 30% off, now €237.27 | Item_B on Thalys: 15% off, now €164.90 | Item_C on Eurostar: 10% off, now €160.11 | Item_D on DB: 15% off, now €211.35 | Item_E on Thalys: 20% off, now €53.03"
03-10-2025,1,"Item_B on Eurostar: 30% off, now €107.26 | Item_C on DB: 15% off, now €232.87 | Item_D on Thalys: 10% off, now €148.18"
03-11-2024,1,"Item_A on TGV: 30% off, now €178.78 | Item_B on Eurostar: 10% off, now €81.79 | Item_D on DB: 25% off, now €252.58"
03-11-2025,1,"Item_A on Eurostar: 25% off, now €275.21 | Item_C on TGV: 30% off, now €287.78 | Item_E on Eurostar: 25% off, now €114.02"
03-12-2024,1,"Item_A on Eurostar: 15% off, now €76.74 | Item_B on Eurostar: 30% off, now €84.78 | Item_C on Thalys: 20% off, now €201.97"
04-01-2024,1,"Item_A on Eurostar: 15% off, now €273.04 | Item_B on Thalys: 25% off, now €68.17 | Item_D on TGV: 10% off, now €83.39 | Item_E on TGV: 20% off, now €276.98"
04-01-2025,1,"Item_A on DB: 20% off, now €238.45 | Item_B on DB: 25% off, now €183.04 | Item_C on Eurostar: 20% off, now €206.50"
04-01-2026,1,"Item_A on DB: 10% off, now €125.83 | Item_B on Thalys: 30% off, now €51.93 | Item_C on Thalys: 10% off, now €248.23 | Item_E on Thalys: 25% off, now €139.12"
04-02-2024,1,"Item_B on TGV: 10% off, now €161.68 | Item_C on TGV: 25% off, now €74.54 | Item_E on DB: 10% off, now €154.93"
04-02-2025,1,"Item_A on TGV: 15% off, now €170.26 | Item_B on TGV: 20% off, now €266.59 | Item_C on Thalys: 20% off, now €216.98"
04-02-2026,1,"Item_A on Thalys: 10% off, now €81.51 | Item_B on Eurostar: 25% off, now €108.59 | Item_C on Thalys: 20% off, now €133.41 | Item_D on DB: 20% off, now €142.56 | Item_E on Thalys: 20% off, now €282.45"
04-03-2024,1,"Item_A on DB: 30% off, now €130.15 | Item_B on Eurostar: 30% off, now €243.49 | Item_C on DB: 20% off, now €235.41 | Item_D on TGV: 20% off, now €234.94 | Item_E on DB: 30% off, now €137.94"
04-03-2025,1,"Item_A on Eurostar: 30% off, now €163.37 | Item_C on TGV: 10% off, now €122.13 | Item_D on TGV: 25% off, now €112.97"
04-04-2024,1,"Item_A on Eurostar: 20% off, now €224.00 | Item_B on DB: 15% off, now €156.85 | Item_C on DB: 25% off, now €139.24 | Item_D on Thalys: 10% off, now €284.28 | Item_E on TGV: 10% off, now €180.98"
04-04-2026,1,"Item_A on Eurostar: 20% off, now €295.88 | Item_C on Eurostar: 25% off, now €173.70 | Item_D on Thalys: 15% off, now €150.34"
04-05-2025,1,"Item_B on TGV: 25% off, now €113.93 | Item_C on DB: 15% off, now €134.22 | Item_D on Thalys: 25% off, now €225.07"
04-05-2026,1,"Item_A on Thalys: 25% off, now €224.66 | Item_B on Eurostar: 15% off, now €252.47 | Item_C on TGV: 25% off, now €188.85 | Item_D on Thalys: 30% off, now €145.78 | Item_E on DB: 20% off, now €195.64"
04-06-2024,1,"Item_A on Eurostar: 30% off, now €224.05 | Item_B on Eurostar: 10% off, now €145.64 | Item_C on TGV: 15% off, now €117.94 | Item_D on TGV: 30% off, now €74.62 | Item_E on DB: 20% off, now €228.54"
04-06-2025,1,"Item_A on Eurostar: 30% off, now €132.31 | Item_B on Eurostar: 25% off, now €152.41 | Item_C on Thalys: 15% off, now €93.09 | Item_D on TGV: 30% off, now €68.17 | Item_E on DB: 30% off, now €180.39"
04-06-2026,1,"Item_A on Thalys: 25% off, now €233.04 | Item_B on DB: 25% off, now €196.96 | Item_C on Thalys: 15% off, now €188.35 | Item_D on Thalys: 10% off, now €161.05"
04-07-2024,1,"Item_B on TGV: 25% off, now €211.94 | Item_C on Eurostar: 25% off, now €290.82 | Item_D on DB: 30% off, now €169.46"
04-07-2026,1,"Item_A on Eurostar: 15% off, now €294.21 | Item_B on Thalys: 20% off, now €64.58 | Item_C on DB: 30% off, now €89.96 | Item_D on TGV: 10% off, now €141.70 | Item_E on TGV: 10% off, now €176.40"
04-08-2024,1,"Item_B on Thalys: 30% off, now €191.26 | Item_C on Thalys: 20% off, now €294.42 | Item_D on DB: 20% off, now €260.40"
04-08-2026,1,"Item_B on TGV: 10% off, now €86.53 | Item_C on TGV: 10% off, now €218.00 | Item_D on DB: 30% off, now €121.73 | Item_E on Thalys: 25% off, now €77.62"
04-09-2024,1,"Item_A on Thalys: 15% off, now €144.92 | Item_C on Eurostar: 15% off, now €202.68 | Item_E on Thalys: 30% off, now €76.40"
04-09-2026,1,"Item_B on TGV: 30% off, now €54.25 | Item_C on Eurostar: 25% off, now €294.29 | Item_D on TGV: 10% off, now €104.13 | Item_E on Thalys: 25% off, now €252.00"
04-10-2024,1,"Item_A on DB: 30% off, now €202.98 | Item_B on DB: 25% off, now €69.30 | Item_C on DB: 30% off, now €136.05 | Item_D on DB: 15% off, now €215.45 | Item_E on DB: 15% off, now €149.26"
04-10-2025,1,"Item_A on DB: 10% off, now €202.66 | Item_B on Thalys: 10% off, now €51.35 | Item_C on Thalys: 10% off, now €103.06 | Item_D on DB: 30% off, now €94.96 | Item_E on Eurostar: 10% off, now €161.39"
04-11-2025,1,"Item_A on TGV: 25% off, now €79.37 | Item_C on TGV: 30% off, now €95.83 | Item_D on Thalys: 20% off, now €145.93 | Item_E on DB: 20% off, now €212.07"
04-12-2024,1,"Item_B on DB: 25% off, now €145.67 | Item_C on TGV: 25% off, now €162.95 | Item_E on TGV: 30% off, now €279.82"
04-12-2025,1,"Item_A on DB: 10% off, now €187.30 | Item_C on Thalys: 15% off, now €166.82 | Item_D on Thalys: 20% off, now €221.95 | Item_E on Eurostar: 20% off, now €192.95"
05-01-2024,1,"Item_B on TGV: 15% off, now €120.78 | Item_C on Eurostar: 10% off, now €163.31 | Item_D on Thalys: 30% off, now €295.00 | Item_E on TGV: 20% off, now €295.23"
05-01-2025,1,"Item_A on Thalys: 20% off, now €136.21 | Item_C on TGV: 20% off, now €272.21 | Item_D on Thalys: 20% off, now €183.77 | Item_E on DB: 25% off, now €102.47"
05-01-2026,1,"Item_A on Eurostar: 30% off, now €153.99 | Item_C on Thalys: 10% off, now €70.77 | Item_E on Thalys: 15% off, now €98.28"
05-02-2024,1,"Item_A on Eurostar: 10% off, now €210.07 | Item_C on DB: 15% off, now €265.45 | Item_D on TGV: 30% off, now €257.17"
05-02-2025,1,"Item_B on DB: 20% off, now €292.83 | Item_C on Eurostar: 20% off, now €205.02 | Item_D on TGV: 30% off, now €191.53"
05-03-2025,1,"Item_A on Thalys: 25% off, now €255.06 | Item_B on TGV: 25% off, now €288.46 | Item_E on TGV: 25% off, now €289.07"
05-03-2026,1,"Item_A on TGV: 25% off, now €110.00 | Item_C on Thalys: 30% off, now €232.54 | Item_D on Eurostar: 15% off, now €293.75 | Item_E on Thalys: 25% off, now €110.27"
05-04-2024,1,"Item_A on Thalys: 15% off, now €64.49 | Item_B on Thalys: 25% off, now €92.49 | Item_C on TGV: 20% off, now €297.91 | Item_D on DB: 30% off, now €288.74 | Item_E on Thalys: 20% off, now €291.56"
05-04-2026,1,"Item_A on DB: 15% off, now €136.81 | Item_B on TGV: 30% off, now €224.00 | Item_C on TGV: 15% off, now €128.01 | Item_D on DB: 30% off, now €106.27 | Item_E on Eurostar: 25% off, now €198.54"
05-05-2025,1,"Item_A on Thalys: 10% off, now €140.34 | Item_B on DB: 25% off, now €105.13 | Item_C on Eurostar: 25% off, now €179.82 | Item_D on DB: 15% off, now €236.11 | Item_E on Thalys: 20% off, now €221.96"
05-05-2026,1,"Item_A on Thalys: 10% off, now €73.93 | Item_C on Eurostar: 20% off, now €254.60 | Item_E on TGV: 10% off, now €243.28"
05-06-2024,1,"Item_A on Eurostar: 20% off, now €278.66 | Item_B on DB: 15% off, now €52.25 | Item_E on Thalys: 20% off, now €107.60"
05-06-2025,1,"Item_A on Thalys: 30% off, now €159.32 | Item_B on Eurostar: 30% off, now €99.84 | Item_D on DB: 15% off, now €150.46 | Item_E on Thalys: 30% off, now €163.64"
05-06-2026,1,"Item_A on Eurostar: 25% off, now €153.17 | Item_B on TGV: 30% off, now €291.69 | Item_C on DB: 25% off, now €153.58 | Item_D on TGV: 20% off, now €238.02 | Item_E on Thalys: 20% off, now €141.45"
05-07-2024,1,"Item_A on TGV: 20% off, now €185.80 | Item_B on Thalys: 10% off, now €208.55 | Item_C on Eurostar: 20% off, now €227.02 | Item_D on Thalys: 15% off, now €84.17 | Item_E on Eurostar: 30% off, now €265.04"
05-07-2025,1,"Item_A on Thalys: 10% off, now €252.37 | Item_B on TGV: 30% off, now €252.42 | Item_C on TGV: 25% off, now €143.90 | Item_E on TGV: 10% off, now €85.84"
05-07-2026,1,"Item_A on Thalys: 30% off, now €229.24 | Item_B on Eurostar: 20% off, now €290.88 | Item_C on Thalys: 10% off, now €170.76 | Item_D on TGV: 20% off, now €277.34"
05-08-2024,1,"Item_A on DB: 20% off, now €152.94 | Item_B on TGV: 20% off, now €230.10 | Item_C on Thalys: 20% off, now €254.00 | Item_D on Thalys: 20% off, now €272.24"
05-08-2025,1,"Item_A on DB: 30% off, now €159.20 | Item_B on DB: 10% off, now €270.06 | Item_C on TGV: 30% off, now €110.04 | Item_D on TGV: 30% off, now €140.28 | Item_E on Eurostar: 15% off, now €277.63"
05-08-2026,1,"Item_A on Thalys: 25% off, now €213.58 | Item_B on DB: 20% off, now €147.46 | Item_E on Eurostar: 10% off, now €192.83"
05-09-2024,1,"Item_A on DB: 25% off, now €204.38 | Item_C on Thalys: 25% off, now €172.57 | Item_D on DB: 15% off, now €182.84"
05-09-2025,1,"Item_A on TGV: 15% off, now €244.77 | Item_B on Thalys: 10% off, now €249.83 | Item_C on Thalys: 10% off, now €196.70 | Item_D on DB: 30% off, now €134.67 | Item_E on TGV: 25% off, now €172.66"
05-10-2024,1,"Item_B on DB: 15% off, now €165.45 | Item_D on Thalys: 20% off, now €289.12 | Item_E on DB: 25% off, now €275.05"
05-10-2025,1,"Item_A on Thalys: 20% off, now €238.39 | Item_B on TGV: 30% off, now €171.52 | Item_D on Thalys: 10% off, now €293.83 | Item_E on Thalys: 10% off, now €258.73"
05-11-2024,1,"Item_A on Thalys: 25% off, now €149.53 | Item_B on DB: 10% off, now €62.61 | Item_C on Eurostar: 30% off, now €226.11 | Item_D on Eurostar: 25% off, now €282.10 | Item_E on TGV: 10% off, now €224.79"
05-12-2024,1,"Item_A on TGV: 25% off, now €277.45 | Item_C on TGV: 15% off, now €159.94 | Item_D on Eurostar: 25% off, now €279.66"
05-12-2025,1,"Item_B on TGV: 10% off, now €163.43 | Item_C on DB: 30% off, now €105.41 | Item_D on TGV: 10% off, now €287.59 | Item_E on Thalys: 20% off, now €287.86"
06-01-2024,1,"Item_B on Thalys: 10% off, now €166.58 | Item_C on Thalys: 15% off, now €169.30 | Item_D on Eurostar: 20% off, now €117.78 | Item_E on Thalys: 25% off, now €200.17"
06-01-2025,1,"Item_A on Thalys: 25% off, now €230.17 | Item_B on DB: 25% off, now €274.84 | Item_C on DB: 20% off, now €52.76 | Item_D on Thalys: 25% off, now €192.17"
06-01-2026,1,"Item_A on DB: 30% off, now €235.10 | Item_B on Eurostar: 30% off, now €109.16 | Item_D on Eurostar: 15% off, now €100.33 | Item_E on TGV: 10% off, now €90.13"
06-02-2025,1,"Item_A on Thalys: 10% off, now €282.07 | Item_B on Thalys: 10% off, now €87.43 | Item_C on TGV: 25% off, now €184.18 | Item_D on TGV: 25% off, now €252.46 | Item_E on TGV: 10% off, now €269.41"
