iter	Passed	Remaining
0	3	1223
1	5	1146
2	8	1076
3	10	1042
4	13	1061
5	16	1062
6	18	1062
7	21	1070
8	25	1105
9	28	1106
10	31	1099
11	33	1079
12	36	1075
13	39	1086
14	43	1118
15	46	1113
16	49	1106
17	51	1085
18	53	1064
19	55	1059
20	57	1038
21	59	1030
22	63	1042
23	66	1034
24	68	1032
25	70	1020
26	73	1017
27	75	998
28	76	981
29	78	972
30	81	970
31	83	958
32	86	958
33	88	957
34	91	951
35	94	951
36	96	946
37	99	945
38	102	947
39	104	936
40	106	934
41	109	932
42	111	924
43	113	917
44	116	915
45	118	908
46	122	918
47	124	916
48	128	919
49	130	914
50	133	914
51	136	913
52	138	905
53	141	909
54	145	910
55	148	910
56	150	905
57	153	903
58	156	902
59	159	905
60	161	896
61	163	892
62	166	891
63	168	884
64	171	883
65	174	881
66	176	879
67	180	879
68	182	876
69	185	875
70	188	871
71	190	867
72	192	864
73	194	858
74	196	852
75	200	853
76	203	852
77	205	850
78	208	847
79	210	841
80	212	836
81	214	831
82	216	828
83	219	825
84	221	821
85	223	817
86	226	813
87	227	808
88	230	803
89	232	801
90	234	797
91	237	795
92	240	794
93	242	789
94	245	788
95	248	786
96	250	782
97	253	780
98	257	782
99	260	780
100	262	775
101	264	773
102	266	768
103	268	765
104	271	761
105	274	760
106	278	763
107	281	760
108	283	755
109	285	753
110	288	752
111	290	747
112	293	745
113	297	745
114	300	743
115	302	740
116	304	735
117	306	731
118	308	728
119	310	724
120	313	722
121	316	722
122	319	720
123	321	716
124	324	714
125	327	713
126	329	709
127	332	706
128	336	706
129	339	704
130	342	702
131	345	700
132	348	698
133	350	695
134	352	692
135	357	693
136	360	691
137	362	688
138	365	686
139	368	684
140	371	682
141	376	683
142	379	682
143	381	678
144	385	677
145	391	680
146	397	683
147	400	681
148	402	678
149	405	675
150	408	673
151	410	669
152	414	669
153	418	668
154	420	664
155	423	662
156	425	657
157	428	655
158	430	652
159	432	649
160	436	647
161	439	646
162	443	644
163	446	643
164	450	640
165	454	640
166	457	638
167	460	636
168	464	634
169	467	632
170	470	630
171	476	631
172	479	629
173	482	627
174	485	624
175	488	622
176	491	619
177	495	617
178	498	615
179	501	612
180	504	610
181	507	608
182	511	605
183	513	603
184	516	600
185	519	598
186	522	595
187	525	592
188	528	589
189	532	588
190	535	585
191	538	583
192	541	580
193	543	577
194	546	575
195	550	572
196	553	570
197	556	567
198	559	564
199	562	562
200	564	559
201	567	556
202	571	554
203	574	551
204	577	549
205	580	546
206	583	543
207	586	541
208	590	539
209	593	537
210	596	534
211	600	532
212	603	529
213	606	526
214	609	524
215	612	521
216	614	518
217	617	515
218	621	513
219	624	510
220	627	507
221	630	505
222	633	502
223	636	500
224	639	497
225	642	494
226	645	491
227	648	489
228	651	486
229	654	483
230	656	480
231	659	477
232	662	474
233	665	472
234	668	469
235	671	466
236	674	464
237	677	461
238	680	458
239	683	455
240	687	453
241	690	450
242	693	448
243	696	445
244	699	442
245	702	439
246	705	436
247	708	434
248	711	431
249	714	428
250	717	425
251	720	422
252	722	419
253	725	417
254	729	414
255	732	411
256	735	409
257	738	406
258	741	403
259	744	400
260	747	398
261	753	397
262	756	394
263	759	391
264	762	388
265	766	386
266	769	383
267	772	380
268	774	377
269	778	374
270	780	371
271	784	368
272	786	366
273	789	363
274	793	360
275	795	357
276	800	355
277	803	352
278	806	349
279	809	346
280	812	343
281	815	341
282	818	338
283	821	335
284	825	332
285	828	330
286	831	327
287	834	324
288	837	321
289	840	318
290	844	316
291	847	313
292	850	310
293	853	307
294	856	304
295	859	301
296	862	299
297	866	296
298	869	293
299	872	290
300	875	287
301	878	284
302	882	282
303	885	279
304	888	276
305	891	273
306	894	270
307	897	267
308	900	265
309	903	262
310	906	259
311	909	256
312	911	253
313	914	250
314	916	247
315	919	244
316	922	241
317	925	238
318	928	235
319	931	232
320	934	229
321	937	226
322	939	224
323	943	221
324	945	218
325	948	215
326	951	212
327	954	209
328	956	206
329	960	203
330	963	200
331	966	197
332	969	195
333	972	192
334	975	189
335	978	186
336	982	183
337	985	180
338	988	177
339	991	174
340	993	171
341	1002	170
342	1005	167
343	1008	164
344	1011	161
345	1014	158
346	1017	155
347	1020	152
348	1023	149
349	1028	146
350	1031	143
351	1033	140
352	1036	138
353	1040	135
354	1043	132
355	1046	129
356	1049	126
357	1051	123
358	1054	120
359	1057	117
360	1061	114
361	1063	111
362	1066	108
363	1069	105
364	1074	103
365	1077	100
366	1080	97
367	1084	94
368	1087	91
369	1090	88
370	1093	85
371	1096	82
372	1100	79
373	1102	76
374	1105	73
375	1108	70
376	1110	67
377	1113	64
378	1117	61
379	1120	58
380	1123	56
381	1126	53
382	1129	50
383	1132	47
384	1135	44
385	1138	41
386	1141	38
387	1144	35
388	1147	32
389	1150	29
390	1153	26
391	1156	23
392	1159	20
393	1162	17
394	1164	14
395	1167	11
396	1170	8
397	1173	5
398	1176	2
399	1179	0
